itemset,frequency,surgeon_group
מספריים לאפ + סקשן איריגיישיין 5,27,Cheap
מספריים לאפ + סקשן איריגיישיין 5,96,Expensive
בלון דו צדדי PDBS2 + שרוול לטרוקר 5 - CFS02,39,Cheap
בלון דו צדדי PDBS2 + שרוול לטרוקר 5 - CFS02,84,Expensive
MICROVAL 14X10-RIGHT + בלון אמצעי T10SB + טאקר-10 סיכות MICROVAL,27,Cheap
MICROVAL 14X10-RIGHT + בלון אמצעי T10SB + טאקר-10 סיכות MICROVAL,96,Expensive
MICROVAL 16X11-RIGHT + טאקר-10 סיכות MICROVAL + טרוקר אקסל ללא סכין 11 B11LT,121,Cheap
MICROVAL 16X11-RIGHT + טאקר-10 סיכות MICROVAL + טרוקר אקסל ללא סכין 11 B11LT,1,Expensive
MICROVAL 16X11-RIGHT + טאקר-10 סיכות MICROVAL + טרוקר ללא סכין 5 NB5STF,121,Cheap
MICROVAL 16X11-RIGHT + טאקר-10 סיכות MICROVAL + טרוקר ללא סכין 5 NB5STF,1,Expensive
MICROVAL 14X10-LEFT + בלון אמצעי T10SB + טאקר-10 סיכות MICROVAL,27,Cheap
